,quetions,answers
292,"according to forbes, did he make more money than he earned?", he was ranked the world's highest-paid athlete by forbes in 2019 and 20
293,"in addition to adidas, what else did he do in his personal life?"," according to france football, he was the world's highest-paid footballer for five years out"
294,"according to forbes, was he a well paid player?"," according to france football, he was the world's highest-paid footballer for five years out of"
295,"in addition to adidas, did he have any other sportswear brands?"," according to france football, he was the world's highest-paid footballer for five years out of"
296,"according to france football, how much did he make in his career?"," according to france football, he was the world's highest-paid footballer for five years"
297,"besides adidas, did he win any awards for sports?"," messi has endorsed sportswear company adidas since 2006. according to france football, he was the world's highest"
298,"according to forbes, how much money did he make as a player?"," according to france football, he was the world's highest-paid footballer for five"
299,"according to afp, how did he do as a player?"," according to france football, he was the world's highest-paid footballer for five years"
300,"according to the forbes website, was he paid more than any other player?"," according to france football, he was the world's highest-paid footballer for five"
301,"in addition to that, has he won any other awards?"," in 2020, messi became the second footballer and second team-sport athlete to surpass $1 billion in career earnings."
302,"according to forbes, did he earn more than $1 billion?"," in 2020, messi became the second footballer and second team-sport athlete to surpass $1 billion in career earnings"
303,"besides adidas, did he have any other  endorsements?"," according to france football, he was the world's highest-paid footballer for five years out of six"
304,"according to forbes, how long did he play?", and was ranked the world's highest-paid athlete by forbes in 2019 and 2022.
305,"according to forbes, how long did he play for them?"," in 2020, messi became the second footballer and second team-sport athlete to surpass $1 billion in career earnings"
306,"according to the laureus, how much did he earn?"," he was named the laureus world sportsman of the year, with messi being the first team-sport"
307,"according to afp, he was the highest-paid player for how many years?"," five years out of six between 2009 and 2014, and was ranked the world's"
308,"according to france football, how much money was he paid for his playing career?"," according to france football, he was the world's highest-paid footballer for five"
309,"according to the french footballer, how long has he been a player?"," according to france football, he was the world's highest-paid footballer for five years"
310,"besides his mother, who was he raised by?"," celia cuccittini, who worked in a magnet manufacturing workshop. on his father's side,"
311,when did he start playing football?," playing constantly with his older brothers, rodrigo and matas, and his cousins, maximiliano and emanu"
312,"besides his father and mother, what else was interesting about his family?"," on his father's side, he is of italian and spanish descent, the great-grandson of"
313,"besides his father and mother, what else did he have in his family?"," his mother, celia cuccittini, who worked in a magnet manufacturing workshop"
314,when did he join his first team?," at the age of four he joined local club grandoli, where he was coached by his father, though his earliest influence as"
315,what happened in 1987?," joel messi, a steel factory manager, and his wife celia cuccittini, who worked in a magnet manufacturing"
316,what was his first team he played with?," local club grandoli, where he was coached by his father, though his earliest influence as a player came from his maternal"
317,when did he get into football?," playing constantly with his older brothers, rodrigo and matas, and his cousins, maximiliano and emanu"
318,what was he like as a child?," growing up in a tight-knit, football-loving family, ""leo"" developed a passion for the sport"
319,what happened after he joined the local club?, he also played for the club in the uefa cup and he made it to the finals as a goal
320,when did he begin playing football?," playing constantly with his older brothers, rodrigo and matas, and his cousins, maximiliano and emanu"
321,what else did he do as a child?," growing up in a tight-knit, football-loving family, ""leo"" developed a passion for the"
322,what happened after that?," at the age of four he joined local club grandoli, where he was coached by his father, though his earliest influence as a player came"
323,what team did he play for?," local club grandoli, where he was coached by his father, though his earliest influence as a player came from his maternal grandmother,"
324,when did he start playing soccer?," playing constantly with his older brothers, rodrigo and matas, and his cousins, maximiliano and emanu"
325,when was he born?, 24 june 1987
326,what was his childhood like?," growing up in a tight-knit, football-loving family, ""leo"" developed a passion for the sport from an early age"
327,what was his early years like?," playing constantly with his older brothers, rodrigo and matas, and his cousins, maximiliano and emanue"
328,what was his early life like?," growing up in a tight-knit, football-loving family, ""leo"" developed a passion for the sport from an early"
329,when was he born," 24 june 1987 in rosario, santa fe, the third of four children of jorge messi, a steel"
330,what happened in 1987?," jorge messi, a steel factory manager, and his wife celia cuccittini, who worked in a magnet manufacturing workshop"
331,when did he join football?," at the age of four he joined local club grandoli, where he was coached by his father, though his earliest influence as a"
332,what happened after he joined?," at the age of four he joined local club grandoli, where he was coached by his father, though his earliest influence as a"
333,"besides his mother and father, who were his parents?"," celia cuccittini, who worked in a magnet manufacturing workshop. on his father's side,"
334,when did he begin playing soccer?," playing constantly with his older brothers, rodrigo and matas, and his cousins, maximiliano and emanu"
335,what happened to his mother?," celia cuccittini, who worked in a magnet manufacturing workshop. on his father's side, he is of italian and"
336,who were his parents?," jorge messi, a steel factory manager, and his wife celia cuccittini, who worked in a magnet manufacturing workshop"
337,what did he do as a child?," growing up in a tight-knit, football-loving family, ""leo"" developed a passion for the sport"
338,"besides his mother, who was his father?"," celia cuccittini, who worked in a magnet manufacturing workshop. on his father's side, he"
339,what was the first team he played for?," local club grandoli, where he was coached by his father, though his earliest influence as a player came from his maternal"
340,what team did he join at the age of four?," local club grandoli, where he was coached by his father, though his earliest influence as a player came"
341,what did his family do," jorge messi, a steel factory manager, and his wife celia cuccittini, who worked in a magnet manufacturing workshop"
342,"besides his mother and father, what else did they do?"," celia cuccittini, who worked in a magnet manufacturing workshop. on his father's side"
343,"besides his mother, what else is interesting about his early childhood?"," he was greatly affected by her death, shortly before his eleventh birthday; since then, as a dev"
344,he was the only child of his father and what was his fathers profession?," steel factory manager, and his wife celia cuccittini, who worked in "
345,what was the name of his father," jorge messi, a steel factory manager, and his wife celia cuccittini, who worked in a magnet"
346,when did he start playing?," playing constantly with his older brothers, rodrigo and matas, and his cousins, maximiliano and emanue"
347,"he was raised in a tight-knit family, what sport did he play?"," football-loving family, ""leo"" developed a passion for the sport"
348,what did his parents do?," jorge messi, a steel factory manager, and his wife celia cuccittini, who worked in a magnet manufacturing"
349,when did he join the team?," at the age of four he joined local club grandoli, where he was coached by his father, though his earliest influence as"
350,what happened to him as a child," growing up in a tight-knit, football-loving family, ""leo"" developed a passion for the sport from an"
351,what else did you find interesting in this article?," growing up in a tight-knit, football-loving family, ""leo"" developed a passion for the sport"
352,when did he join?," at the age of four he joined local club grandoli, where he was coached by his father, though his earliest influence as a player"
353,when did he start playing?," at the age of four he joined local club grandoli, where he was coached by his father, though his earliest influence as a"
354,he has a mother and a father. where did he go to school?, cannotanswer
355,what team did he play for at the age of four?," local club grandoli, where he was coached by his father, though his earliest influence as a player came"
356,what team did he play for as a child?," local club grandoli, where he was coached by his father, though his earliest influence as a player came from"
357,what was the most memorable thing about his early years?," growing up in a tight-knit, football-loving family, ""leo"" developed a passion for the"
358,who was his father?," jorge messi, a steel factory manager, and his wife celia cuccittini, who worked in a magnet manufacturing workshop"
359,what happened in the early years?," at the age of four he joined local club grandoli, where he was coached by his father, though his earliest influence as a"
360,what was his early childhood like?," growing up in a tight-knit, football-loving family, ""leo"" developed a passion for the sport from an early"
361,what was his mother's name," celia cuccittini, who worked in a magnet manufacturing workshop. on his father's side, he is of italian"
362,what else did he do in his early life?," growing up in a tight-knit, football-loving family, ""leo"" developed a passion for the"
363,where was he born," rosario, santa fe, the third of four children of jorge messi, a steel factory manager, and his wife"
364,what did he do in his early years?," growing up in a tight-knit, football-loving family, ""leo"" developed a passion for the sport"
365,what happened after the injury?," he was scouted by buenos aires club river plate, whose playmaker, pablo aimar, he idol"
366,what happened in the early years of rso?," a lifelong supporter of newell's old boys, messi joined the rosario club when he was"
367,who did he play for in the rosario?," a lifelong supporter of newell's old boys, messi joined the rosario club when he was"
368,he played for the club for six years before playing for newell's., rosario club when he was six years old. during the six years he played for new
369,when did he join rosario?," a lifelong supporter of newell's old boys, messi joined the rosario club when he was six years old"
370,what year did he join newell's?," aged 10, he was diagnosed with a growth hormone deficiency. as his father's health insurance covered only two years"
371,who was rosario club?," rosario club when he was six years old. during the six years he played for newell's, he scored almost 500 goals"
372,what was the name of the club that he played for rosario?, rosario club when he was six years old. during the six years he played for newell
373,what happened to ronaldo," ronaldo's career ended at the age of 21 with newell's old boys, and messi signed with newell'"
374,where did he grow up?," rosario club when he was six years old. during the six years he played for newell's, he scored almost 500 goals"
375,when did he go to newell's?," a lifelong supporter of newell's old boys, messi joined the rosario club when he was six"
376,when did he leave newell's?," in january 2015, he signed a four-year contract with the team for a record sum of $2.4 million"
377,the machine of '87 was a youth team named after who?," the year of their birth, and regularly entertained crowds by performing ball tricks during half-time of the first"
378,what was the rosario?," rosario club when he was six years old. during the six years he played for newell's, he scored almost 500 goals"
379,when did he begin playing for newell's?, he joined the rosario club when he was six years old. during the six years he played for newell
380,when was he diagnosed with a deficiency?," aged 10, he was diagnosed with a growth hormone deficiency. as his father's health insurance covered only"
381,what year was he diagnosed?," aged 10, he was diagnosed with a growth hormone deficiency. as his father's health insurance covered only two years of growth hormone treatment"
382,what was his role with newell's old boys?," a lifelong supporter of newell's old boys, messi joined the rosario club when he was"
383,what is the most interesting aspect of the article?," he was scouted by buenos aires club river plate, whose playmaker, pablo aimar"
384,in his early years did he play in a team with a lot of success?," during the six years he played for newell's, he scored almost 500 goals"
385,when did he join newell's old boys?," a lifelong supporter of newell's old boys, messi joined the rosario club when he was"
386,when did he leave newell's old boys?," however, his future as a professional player was threatened when, aged 10, he was diagnosed with a growth hormone defic"
387,he was diagnosed with what?," a growth hormone deficiency. as his father's health insurance covered only two years of growth hormone treatment, which cost at least $1,000"
388,when did messi join newell's old boys?," a lifelong supporter of newell's old boys, messi joined the rosario club when he was"
389,when did he start playing?," rosario club when he was six years old. during the six years he played for newell's, he scored almost 500 goals"
390,what was rosario club?," rosario club when he was six years old. during the six years he played for newell's, he scored almost 500 goals"
391,which team did he play for?," rosario club when he was six years old. during the six years he played for newell's, he scored almost 500"
392,when did he start playing for newell's?," a lifelong supporter of newell's old boys, messi joined the rosario club when he was"
393,he was diagnosed with a growth hormone deficiency when?," aged 10, he was diagnosed with a growth hormone deficiency."
394,who did he play for?," during the six years he played for newell's, he scored almost 500 goals as a member of ""the machine of '87"
395,what was the rosario club?," rosario club when he was six years old. during the six years he played for newell's, he scored almost 500"
396,what happened at newells old boys?," a lifelong supporter of newell's old boys, messi joined the rosario club when he was six years old"
397,when did he start playing for newell's?, he joined the rosario club when he was six years old. during the six years he played for newell
398,what happened at the rosario club?," a lifelong supporter of newell's old boys, messi joined the rosario club when he was six years old"
399,what happened after that," he was scouted by buenos aires club river plate, whose playmaker, pablo aimar, he idolised,"
400,what happened in '87?," during the six years he played for newell's, he scored almost 500 goals as a member of ""the machine of '87"
401,what else did you find interesting about his early career?," however, his future as a professional player was threatened when, aged 10, he was diagnosed with a growth hormone defici"
402,during his time with newell's was he well liked?," he scored almost 500 goals as a member of ""the machine of '87"", the near-unbeat"
403,what was the name of his team," the machine of '87"", the near-unbeatable youth side named for the year of their birth, and regularly entertained crowds by performing ball"
404,when did he start playing?," during the six years he played for newell's, he scored almost 500 goals as a member of ""the machine of '87"
405,what else was interesting in this article?," he was scouted by buenos aires club river plate, whose playmaker, pablo aimar, "
406,what else did you find interesting about the article?," however, his future as a professional player was threatened when, aged 10, he was diagnosed with a growth hormone deficiency"
407,"besides rosario, what other club did he play for?"," he was scouted by buenos aires club river plate, whose playmaker, pa"
408,when did he join the rosario club?," during the six years he played for newell's, he scored almost 500 goals as a member of ""the machine"
409,what did he do in the rosario club?," a lifelong supporter of newell's old boys, messi joined the rosario club when he was"
410,what else did the club do?," he regularly entertain crowds by performing ball tricks during half-time of the first team's home games. however, his future as a professional"
411,what happened in the rosario club?," a lifelong supporter of newell's old boys, messi joined the rosario club when he was six years old"
412,"after playing with the rosario club for six years, was he a successful player?"," during the six years he played for newell's, he scored almost 500"
413,the machine of 87 was named after whom?, cannotanswer
414,what happened to him as a child?," a lifelong supporter of newell's old boys, messi joined the rosario club when he was six years old"
415,what happened to him as a youth?," during the six years he played for newell's, he scored almost 500 goals as a member of ""the machine of "
416,he also played for a team that was named after who?," newell's old boys, he joined the rosario club when he was six years old."
417,when did he start playing for the rosario?," a lifelong supporter of newell's old boys, messi joined the rosario club when he was"
418,when did he leave newell's old boys?, he joined the rosario club when he was six years old. during the six years he played for newell
419,what was he playing for newell's old boys," a lifelong supporter of newell's old boys, messi joined the rosario club when he was"
420,what year did he leave newell's old boys?," aged 8, he was diagnosed with a growth hormone deficiency. as his father's health insurance covered only"
421,what team did he start playing with at the age of 6?, rosario club when he was six years old. during the six years he played for newell's
422,which team did he join?," rosario club when he was six years old. during the six years he played for newell's, he scored almost 500 goals"
423,what else happened in the early years of his playing career?," however, his future as a professional player was threatened when, aged 10, he was diagnosed with a growth hormone defic"
424,when did he join the rosario club?," a lifetime supporter of newell's old boys, messi joined the rosario club when he was six years"
425,who did he work with?," rosario club when he was six years old. during the six years he played for newell's, he scored almost 500 goals"
426,what else did he do in his youth career?," during the six years he played for newell's, he scored almost 500 goals as a member of ""the machine"
427,who was rosario?," the rosario club when he was six years old. during the six years he played for newell's, he scored almost 500 goals"
428,who did he play with?," rosario club when he was six years young. during the six years he played for newell's, he scored almost 500 goals"
429,during his time with newell's did he win any awards?, cannotanswer
430,what else did they offer him," he was scouted by buenos aires club river plate, whose playmaker, pablo aimar, he idol"
431,when did he join newell's?," a lifelong supporter of newell's old boys, messi joined the rosario club when he was six years"
432,when did he join newell's?," a lifetime supporter of newell's old boys, messi joined the rosario club when he was six years old"
433,what happened to ronaldo in his early years," his goalscoring idol growing up was ronaldo, with messi calling him ""the best forward i'"
434,what was his first team?," the rosario club when he was six years old. during the six years he played for newell's, he scored almost 500 goals"
435,what team was he a member of at the time?," rosario club when he was six years old. during the six years he played for newell's,"
436,who did he play for?," rosario club when he was six years old. during the six years he played for newell's, he scored almost 500 goals"
437,what was the machine of '87?," the near-unbeatable youth side named for the year of their birth, and regularly entertained crowds by performing ball tricks during half-time"
438,what did he do for them," during the six years he played for newell's, he scored almost 500 goals as a member of ""the machine of '87"
439,when did he go to newell's?," a lifetime supporter of newell's old boys, messi joined the rosario club when he was six years"
440,what else happened during the time he played?," however, his future as a professional player was threatened when, aged 10, he was diagnosed with a growth hormone deficiency"
441,what happened to ronaldo in his youth career?, cannotanswer
442,what happened to barcelona in 2002," as the messi family had relatives in catalonia, they sought to arrange a trial with barcelona in september 2000."
443,"as a child, was he good in the team?"," a week after experiencing a broken jaw during a league match, messi was allowed to start the game on the"
444,when did he join barcelona?," as the messi family had relatives in catalonia, they sought to arrange a trial with barcelona in september 2000"
445,what did he do in the barcelona youth academy?," a year at barcelona's youth academy, la masia, messi was finally enrolled"
446,what happened in 2002?," after a year at barcelona's youth academy, la masia, messi was finally enrolled in the royal spanish football feder"
447,"as a foreigner in spain, how did he integrate into the team?"," already reserved by nature, he was so quiet that his teammates initially believed he was mut"
448,what happened to him in 2002?," a week after suffering a broken cheekbone during a league match, messi was allowed to start the game on the condition that he wear"
449,"as a foreigner, how did he integrate into the team?"," already reserved by nature, he was so quiet that his teammates initially believed he was mute."
450,what happened in 2001?," the family relocated to barcelona, where they moved into an apartment near the club's stadium, camp nou. during his first year in spain"
451,"in 2003, where did he go?"," barcelona moved to barcelona from rosario, and moved to a new apartment near the stadium, camp nou."
452,"besides his injury, was there anything else interesting?"," a week after suffering a broken cheekbone during a league match, messi was allowed to start the game on the condition"
453,when did he move to barcelona?," a year at barcelona's youth academy, la masia, messi was finally enrolled in the royal"
454,"after completing his growth hormone treatment, did he join barcelona?"," after a year at barcelona's youth academy, la masia, messi"
455,when did he move to barcelona?," in february 2001, the family relocated to barcelona, where they moved into an apartment near the club's"
456,what happened with the barcelona?," as the messi family had relatives in catalonia, they sought to arrange a trial with barcelona in september 2000."
457,what team did he join after barcelona?," after a year at barcelona's youth academy, la maasia, messi was finally enrolled in the"
458,what happened to him as a youth," first team director charly rexach immediately wanted to sign him, but the board of directors hesitated; at the time it was highly"
459,what else did he do in his early years?," after a year at barcelona's youth academy, la masia, messi was finally enrolled in the"
460,when did he join barcelona?, they sought to arrange a trial with barcelona in september 2000. first team director charly rexach immediately
461,when was he a youth player?," as the messi family had relatives in catalonia, they sought to arrange a trial with barcelona in september 2000."
462,when did he join?," a year at barcelona's youth academy, la masia, messi was finally enrolled in the royal spanish football feder"
463,"as a youth player, how did he perform?"," he was top scorer with 36 goals in 30 games for the cadetes a, who won an unprecedented tre"
464,"as a youth player, did he play for any other team?", cannotanswer
465,when did he join barcelona?, he sought to arrange a trial with barcelona in september 2000. first team director charly rexach
466,what did he do in barcelona?," he was top scorer with 36 goals in 30 games for the cadetes a, who won an unprecedented treble"
467,"after signing with the team, was he able to integrate into the team?"," already reserved by nature, he was so quiet that his teammates initially believed he was mute"
468,when did he leave?," he received an offer to join arsenal, his first from a foreign club, but while fàbregas and piqué soon left for eng"
469,when did he move to spain?," as the messi family had relatives in catalonia, they sought to arrange a trial with barcelona in september 2000."
470,what happened in the 2002-2003 season?," he was top scorer with 36 goals in 30 games for the cadetes a, who won an unprecedented treble of the"
471,he had a good time with barcelona and his family., cannotanswer
472,when did he play for barcelona?," as the messi family had relatives in catalonia, they sought to arrange a trial with barcelona in september"
473,when was he signed?," on 14 december, an ultimatum was issued for barcelona to prove their commitment, and rexach, with no other paper"
474,what did he do after that?," he was top scorer with 36 goals in 30 games for the cadetes a, who won an unprecedented treble of the league"
475,what was he like in barcelona?," a year at barcelona's youth academy, la masia, messi was finally enrolled in the royal"
476,what happened after this?," a week after suffering a broken cheekbone during a league match, messi was allowed to start the game on the condition that he wear a"
477,"as a child, did he play for barcelona?"," the family relocated to barcelona, where they moved into an apartment near the club's stadium,"
478,"besides playing for barcelona, did he ever play in any other competition?"," he befriended his teammates, among whom were cesc fàbre"
479,"after he was released, did he stay with the team?"," at the close of the season, he received an offer to join arsenal, his first from a foreign club,"
480,when was he signed?," on 14 november, an ultimatum was issued for barcelona to prove their commitment, and rexach, with no other paper"
481,what happened after he signed with barcelona?," he was top scorer with 36 goals in 30 games for the cadetes a, who won an unprecedented tre"
482,"after playing for barcelona, did he join any other teams?"," at home, he suffered from homesickness after his mother moved back to rosario with his brothers"
483,what did he do with barcelona?," as the messi family had relatives in catalonia, they sought to arrange a trial with barcelona in september"
484,what team did he play for in spain?," barcelona's greatest-ever youth side. during his first full season (2002–03), he was top score"
485,what was the most important thing about his early years?," a week after suffering a broken cheekbone during a league match, messi was allowed to start the game on the condition"
486,"after he was enrolled in the royal spanish football federation, did he make it?", he was allowed to start the game on the condition that he wear 
487,"as a foreign player, did he do well?"," during his first year in spain, messi rarely played with the infantiles due to a transfer conflict with newell"
488,when did he start playing for barcelona?," as the messi family had relatives in catalonia, they sought to arrange a trial with barcelona in sept"
489,what happened in the early years?," as the messi family had relatives in catalonia, they sought to arrange a trial with barcelona in september 2000."
490,what was the most interesting aspect of this article?," a week after suffering a broken cheekbone during a league match, messi was allowed to start the game on the condition that"
491,"besides barcelona and arsenal, did he ever play for any other team?"," he received an offer to join arsenal, his first from a foreign club, but while"
492,"after signing, did he stay in spain?"," in february 2001, the family relocated to barcelona, where they moved into an apartment near the club's"
493,"as a youth team, did he have any struggles?"," he struggled to integrate into the team; already reserved by nature, he was so quiet that his teammates initially believed"
494,when did he join the team?," he was top scorer with 36 goals in 30 games for the cadetes a, who won an unprecedented treble of the league"
495,after a year at what academy was he signed?," la masia, messi was finally enrolled in the royal spanish football federation (rfef"
496,what was the first team he played for in spain?," barcelona's youth academy, la masia, messi was finally enrolled in the royal spanish"
497,"as a youngster, did he ever play for barcelona?"," as the messi family had relatives in catalonia, they sought to arrange a trial with bar"
498,what happened with the injury?," a week after suffering a broken cheekbone during a league match, messi was allowed to start the game on the condition that he wear "
499,"after the injury he returned to barcelona, where did he stay?"," in february 2001, the family relocated to barcelona, where they moved into"
500,what else is interesting?," a week after suffering a broken cheekbone during a league match, messi was allowed to start the game on the condition that he wear a"
501,what position did he play?," a week after suffering a broken cheekbone during a league match, messi was allowed to start the game on the condition that he wear"
502,what team did he sign with after barcelona?," barcelona in september 2000. first team director charly rexach immediately wanted to sign him,"
503,when did he play for barcelona," as the messi family had relatives in catalonia, they sought to arrange a trial with barcelona in september 2000"
504,"after he retired, did he play for any other clubs?"," at the close of the season, he received an offer to join arsenal, his first from a foreign club,"
505,what did he do with the team?," after a year at barcelona's youth academy, la masia, messi was finally enrolled in the royal span"
506,what happened after his first season?," a week after suffering a broken cheekbone during a league match, messi was allowed to start the game on the condition that he wear"
507,what happened after he left?," he received an offer to join arsenal, his first from a foreign club, but while fàbregas and piqué soon left for "
508,what team was he playing against at the time?," barcelona's youth academy, la maasia, messi was finally enrolled in the royal spanish football feder"
509,after a year at what?," la maasia, messi was finally enrolled in the royal spanish football federation (rfef) in february 2002."
510,what happened during his time with barcelona?," he was top scorer with 36 goals in 30 games for the cadetes a, who won an unprecedented treble"
511,when did he move to barcelona," in february 2001, the family relocated to barcelona, where they moved into an apartment near the club's stadium"
512,when did he leave barcelona?," in february 2001, the family relocated to barcelona, where they moved into an apartment near the club's stadium"
